Generation, BestScore, AverageScore, WorstScore
5, 0.59375, 0.47460938, 0.53125
10, 0.59375, 0.5761719, 0.59375
15, 0.59375, 0.578125, 0.59375
20, 0.59375, 0.5605469, 0.59375
25, 0.59375, 0.48828125, 0.5
30, 0.59375, 0.515625, 0.5
35, 0.65625, 0.5644531, 0.59375
40, 0.6875, 0.484375, 0.40625
45, 0.6875, 0.5878906, 0.59375
50, 0.6875, 0.55078125, 0.59375
55, 0.6875, 0.50390625, 0.59375
60, 0.6875, 0.56640625, 0.59375
65, 0.6875, 0.46484375, 0.53125
70, 0.6875, 0.51171875, 0.59375
75, 0.6875, 0.48046875, 0.46875
80, 0.6875, 0.5214844, 0.46875
85, 0.6875, 0.5703125, 0.59375
90, 0.6875, 0.55078125, 0.53125
95, 0.6875, 0.47265625, 0.53125
100, 0.6875, 0.50390625, 0.53125
105, 0.71875, 0.5878906, 0.65625
110, 0.71875, 0.53515625, 0.5625
115, 0.71875, 0.45507812, 0.40625
120, 0.71875, 0.5097656, 0.40625
125, 0.71875, 0.5, 0.53125
130, 0.71875, 0.5917969, 0.65625
135, 0.71875, 0.5078125, 0.53125
140, 0.71875, 0.52734375, 0.53125
145, 0.71875, 0.5332031, 0.53125
150, 0.71875, 0.4921875, 0.5
155, 0.71875, 0.48828125, 0.46875
160, 0.71875, 0.5566406, 0.5625
165, 0.71875, 0.578125, 0.5625
170, 0.71875, 0.5136719, 0.59375
175, 0.71875, 0.49804688, 0.5
180, 0.71875, 0.4765625, 0.46875
185, 0.71875, 0.45898438, 0.4375
190, 0.71875, 0.5292969, 0.53125
195, 0.71875, 0.5546875, 0.5625
200, 0.71875, 0.5488281, 0.53125
205, 0.71875, 0.5371094, 0.53125
210, 0.71875, 0.4921875, 0.46875
215, 0.71875, 0.5058594, 0.5
220, 0.71875, 0.53515625, 0.53125
225, 0.71875, 0.53125, 0.53125
230, 0.71875, 0.52734375, 0.53125
235, 0.71875, 0.5292969, 0.53125
240, 0.71875, 0.53125, 0.53125
245, 0.71875, 0.53125, 0.53125
250, 0.71875, 0.52734375, 0.53125
255, 0.71875, 0.5371094, 0.53125
260, 0.71875, 0.50390625, 0.53125
265, 0.71875, 0.6269531, 0.65625
270, 0.71875, 0.6269531, 0.59375
275, 0.71875, 0.6152344, 0.625
280, 0.71875, 0.546875, 0.53125
285, 0.71875, 0.5253906, 0.53125
290, 0.71875, 0.515625, 0.53125
295, 0.71875, 0.53125, 0.53125
300, 0.71875, 0.5234375, 0.53125
305, 0.71875, 0.53125, 0.53125
310, 0.71875, 0.5175781, 0.5625
315, 0.71875, 0.5605469, 0.5625
320, 0.71875, 0.5449219, 0.5625
325, 0.71875, 0.49414062, 0.5
330, 0.71875, 0.5546875, 0.5625
335, 0.71875, 0.5332031, 0.53125
340, 0.71875, 0.57421875, 0.59375
345, 0.71875, 0.55078125, 0.53125
350, 0.71875, 0.64453125, 0.46875
355, 0.71875, 0.57421875, 0.59375
360, 0.71875, 0.54296875, 0.59375
365, 0.71875, 0.5078125, 0.53125
370, 0.71875, 0.6875, 0.71875
375, 0.71875, 0.546875, 0.53125
380, 0.71875, 0.63671875, 0.40625
385, 0.71875, 0.6328125, 0.71875
390, 0.71875, 0.5234375, 0.71875
395, 0.71875, 0.6015625, 0.71875
400, 0.78125, 0.67578125, 0.71875
405, 0.78125, 0.546875, 0.40625
410, 0.78125, 0.6484375, 0.53125
415, 0.78125, 0.546875, 0.71875
420, 0.78125, 0.515625, 0.46875
425, 0.78125, 0.5292969, 0.59375
430, 0.78125, 0.6328125, 0.78125
435, 0.78125, 0.6113281, 0.5625
440, 0.84375, 0.640625, 0.71875
445, 0.84375, 0.70703125, 0.71875
450, 0.84375, 0.69140625, 0.78125
455, 0.84375, 0.796875, 0.71875
460, 0.84375, 0.5546875, 0.78125
465, 0.84375, 0.671875, 0.78125
470, 0.84375, 0.6171875, 0.78125
475, 0.84375, 0.70703125, 0.53125
480, 0.84375, 0.640625, 0.65625
